"topic","weight","doc"
1,0.8514,25416
1,0.8389,11680
1,0.808,38414
1,0.799,40146
1,0.7851,22297
1,0.784,30089
1,0.7796,27224
1,0.7792,30793
1,0.7787,36061
1,0.7724,39424
1,0.7713,28254
1,0.7659,32614
1,0.7633,29015
1,0.7552,12638
1,0.7538,15160
1,0.7469,11040
1,0.7469,14031
1,0.7412,10160
1,0.7389,21083
1,0.7351,10028
1,0.7348,38562
1,0.7315,23162
1,0.7305,9551
1,0.7299,10130
1,0.7267,29974
1,0.7267,30917
1,0.7253,26087
1,0.721,17351
1,0.7207,37456
1,0.7178,9878
1,0.7153,33387
1,0.7153,37767
1,0.7148,30540
1,0.7124,39187
1,0.7114,35484
1,0.7108,38916
1,0.7042,26127
1,0.702,33894
1,0.702,37553
1,0.6994,20145
1,0.6966,26466
1,0.6966,40220
1,0.6961,30482
1,0.6936,27688
1,0.6927,21406
1,0.6894,15030
1,0.6886,23358
1,0.6871,32399
1,0.6867,27946
1,0.6827,11821
2,0.7713,5614
2,0.7569,6650
2,0.7358,8437
2,0.7222,6104
2,0.7099,2380
2,0.7092,5188
2,0.6833,8368
2,0.6828,5849
2,0.6808,6288
2,0.6759,34038
2,0.6722,29320
2,0.6609,8218
2,0.6609,10425
2,0.6583,30763
2,0.6505,5788
2,0.6439,7423
2,0.6361,12618
2,0.6354,7875
2,0.627,1183
2,0.6204,6702
2,0.6204,7740
2,0.6159,2583
2,0.6159,2999
2,0.6159,22581
2,0.6139,2790
2,0.6111,36739
2,0.6111,12865
2,0.6083,4329
2,0.6083,8094
2,0.6083,37911
2,0.6083,31056
2,0.6056,14106
2,0.6056,35865
2,0.6048,38022
2,0.6042,6266
2,0.599,2533
2,0.5957,34637
2,0.5952,30371
2,0.594,29473
2,0.5931,8379
2,0.5915,3797
2,0.5903,655
2,0.5903,3208
2,0.5903,3989
2,0.5889,4165
2,0.5868,8052
2,0.586,17129
2,0.5846,28633
2,0.5833,14156
2,0.5833,20588
3,0.8686,30993
3,0.8494,18202
3,0.8411,24034
3,0.838,25655
3,0.838,36797
3,0.837,20144
3,0.8333,12659
3,0.8285,16604
3,0.8248,19322
3,0.8177,23022
3,0.8153,16504
3,0.8141,18287
3,0.8141,29694
3,0.8067,16235
3,0.8067,21501
3,0.803,39310
3,0.7992,38752
3,0.799,12902
3,0.7989,20405
3,0.7986,10842
3,0.7939,13223
3,0.793,12140
3,0.7887,28688
3,0.7883,29145
3,0.7883,39070
3,0.784,25870
3,0.784,28351
3,0.7804,15924
3,0.7796,22453
3,0.7796,38238
3,0.7792,25771
3,0.7792,35511
3,0.7787,36760
3,0.7762,17305
3,0.7722,15481
3,0.7722,21787
3,0.7722,29696
3,0.7722,36939
3,0.7713,20493
3,0.7705,27928
3,0.7698,22052
3,0.7698,26812
3,0.7698,31108
3,0.7696,25190
3,0.7695,32002
3,0.7667,31916
3,0.7667,35191
3,0.7667,36938
3,0.7667,37418
3,0.7645,32123
4,0.866,12376
4,0.8268,9448
4,0.8178,28546
4,0.816,37877
4,0.8159,9162
4,0.8132,28422
4,0.8048,36052
4,0.8042,10403
4,0.7989,28083
4,0.7986,36904
4,0.7966,17970
4,0.7966,18005
4,0.7946,17510
4,0.7858,36617
4,0.7839,23192
4,0.7839,30870
4,0.7838,23122
4,0.7815,26061
4,0.7799,24547
4,0.7792,12887
4,0.7789,12425
4,0.7769,33436
4,0.7765,13010
4,0.7765,23150
4,0.7762,18020
4,0.7756,33615
4,0.7722,12826
4,0.7711,26297
4,0.7708,38658
4,0.7667,38380
4,0.7659,5609
4,0.7659,16022
4,0.7655,31229
4,0.7644,37653
4,0.7633,35940
4,0.7629,15603
4,0.7602,13267
4,0.7593,39180
4,0.759,29511
4,0.7583,38350
4,0.756,39299
4,0.756,21181
4,0.7548,29912
4,0.7542,22852
4,0.7538,30215
4,0.7532,23070
4,0.7523,15602
4,0.7489,35913
4,0.7486,34887
4,0.7473,4560
5,0.821,17375
5,0.7989,14443
5,0.7583,21353
5,0.7583,21453
5,0.7542,9987
5,0.7402,33966
5,0.7377,27307
5,0.7372,13083
5,0.7348,11920
5,0.7342,11996
5,0.7315,25395
5,0.7299,17317
5,0.724,11648
5,0.7238,24449
5,0.7202,21066
5,0.7192,13161
5,0.719,24963
5,0.719,14078
5,0.7157,17345
5,0.7157,27279
5,0.7153,15509
5,0.7153,21306
5,0.7127,29338
5,0.7113,13368
5,0.7108,34224
5,0.7072,12439
5,0.7056,28627
5,0.7029,11322
5,0.7029,33843
5,0.6991,29290
5,0.6987,32866
5,0.6979,19734
5,0.6973,29049
5,0.6966,27186
5,0.693,10619
5,0.693,12409
5,0.6867,18323
5,0.6828,19614
5,0.6812,13144
5,0.6796,37889
5,0.6783,9272
5,0.6778,30063
5,0.6778,31769
5,0.6746,18152
5,0.6746,32174
5,0.6736,12354
5,0.6736,21644
5,0.6728,36614
5,0.6722,11167
5,0.6722,15026
6,0.8333,3371
6,0.8333,3388
6,0.8333,7088
6,0.7899,19397
6,0.7854,34061
6,0.7644,10565
6,0.7602,20622
6,0.7583,17236
6,0.7583,33071
6,0.7569,11472
6,0.7542,32330
6,0.7464,34991
6,0.739,38664
6,0.7323,9639
6,0.7292,34384
6,0.727,17304
6,0.7267,1314
6,0.7267,4784
6,0.7222,4023
6,0.7222,5563
6,0.7222,36954
6,0.7202,7533
6,0.7056,37206
6,0.6987,10323
6,0.6979,9498
6,0.6977,35420
6,0.6954,22374
6,0.6927,33291
6,0.6894,16009
6,0.6894,19428
6,0.6894,20620
6,0.6867,22537
6,0.6828,19811
6,0.6828,25553
6,0.6828,31254
6,0.6828,33155
6,0.6814,30987
6,0.6779,35088
6,0.6778,21837
6,0.6763,34451
6,0.6759,13531
6,0.6759,2323
6,0.6759,21140
6,0.6746,12954
6,0.6736,1784
6,0.6736,27396
6,0.6728,28079
6,0.6722,1855
6,0.6717,8580
6,0.6717,35481
7,0.8056,19867
7,0.7931,26607
7,0.7929,15085
7,0.7756,17354
7,0.7749,17077
7,0.7722,25762
7,0.7722,30016
7,0.7579,26485
7,0.756,14843
7,0.7535,18308
7,0.7372,17725
7,0.7372,21696
7,0.737,1368
7,0.7323,33391
7,0.7267,22826
7,0.7245,37800
7,0.7202,10902
7,0.7194,29870
7,0.7157,31194
7,0.7149,36437
7,0.6987,17930
7,0.6979,38853
7,0.6955,39100
7,0.693,21825
7,0.6914,34882
7,0.6905,13775
7,0.6894,22466
7,0.6867,17123
7,0.6845,30657
7,0.6844,37864
7,0.6746,13957
7,0.6728,18228
7,0.6728,20808
7,0.6713,23897
7,0.6704,28232
7,0.6631,24124
7,0.6603,36397
7,0.6585,37873
7,0.6583,19302
7,0.6583,12611
7,0.6569,33807
7,0.6548,10294
7,0.6548,21900
7,0.6542,16962
7,0.6503,15198
7,0.6488,9591
7,0.6488,36942
7,0.6435,21439
7,0.6418,31893
7,0.6404,25133
8,0.8611,2408
8,0.8274,30584
8,0.8177,8542
8,0.816,25470
8,0.8118,22355
8,0.808,39325
8,0.7789,35359
8,0.7698,4473
8,0.7667,21718
8,0.7585,20190
8,0.7546,33861
8,0.7546,40399
8,0.7489,40355
8,0.7486,39510
8,0.7469,11193
8,0.7464,31565
8,0.7446,3596
8,0.7421,39517
8,0.7412,28511
8,0.7412,29849
8,0.7389,17565
8,0.7326,14484
8,0.7299,2118
8,0.7299,21805
8,0.7295,26972
8,0.7285,3762
8,0.7269,31030
8,0.7222,13888
8,0.7222,35410
8,0.7202,20758
8,0.7194,6625
8,0.719,33104
8,0.7153,21749
8,0.7153,28818
8,0.7149,35498
8,0.7099,34476
8,0.7083,2483
8,0.7083,3928
8,0.7083,25270
8,0.7072,25012
8,0.7058,1933
8,0.7056,17806
8,0.7033,28732
8,0.7013,21041
8,0.6987,36142
8,0.6987,37527
8,0.6987,38274
8,0.6973,38893
8,0.6966,30421
8,0.6954,29349
9,0.8704,12069
9,0.7803,15131
9,0.768,25919
9,0.7626,26277
9,0.7547,13196
9,0.7546,40012
9,0.7464,9166
9,0.7389,24919
9,0.7387,19695
9,0.7299,26294
9,0.719,17113
9,0.7157,11616
9,0.7149,34202
9,0.7114,17297
9,0.7042,33855
9,0.7042,9287
9,0.6991,32534
9,0.693,34230
9,0.6926,21897
9,0.688,19353
9,0.6845,34736
9,0.6828,12915
9,0.6828,24010
9,0.6802,31367
9,0.6778,13225
9,0.6746,33839
9,0.6746,35256
9,0.6722,23237
9,0.6713,9723
9,0.6619,13702
9,0.6609,13098
9,0.6594,20065
9,0.6594,32318
9,0.6583,29800
9,0.655,28774
9,0.6548,26287
9,0.6505,35339
9,0.6488,37387
9,0.6481,20827
9,0.6467,11837
9,0.6467,13572
9,0.6467,28435
9,0.6439,35512
9,0.6435,7506
9,0.6435,19214
9,0.6418,14232
9,0.6404,10199
9,0.6354,22093
9,0.6354,24327
9,0.6338,25487
10,0.9909,26532
10,0.9576,38309
10,0.9548,35918
10,0.9544,27071
10,0.8716,18226
10,0.8535,23927
10,0.8141,36349
10,0.8026,28162
10,0.7696,26375
10,0.7615,24937
10,0.7601,18016
10,0.7535,22371
10,0.7412,34293
10,0.7233,33309
10,0.7177,17100
10,0.6979,11849
10,0.6938,20137
10,0.6856,9849
10,0.685,12569
10,0.6845,29609
10,0.6844,2443
10,0.6828,826
10,0.6802,28695
10,0.6778,17173
10,0.6778,33203
10,0.6759,25104
10,0.6746,26788
10,0.6689,27979
10,0.6615,25913
10,0.6603,13163
10,0.6569,19480
10,0.6569,32314
10,0.6565,17870
10,0.652,26815
10,0.651,23387
10,0.6505,26964
10,0.6503,13974
10,0.6488,29326
10,0.6404,21247
10,0.6404,36736
10,0.6389,37158
10,0.6358,10735
10,0.633,24431
10,0.6319,12493
10,0.6319,33973
10,0.6317,25048
10,0.6302,22308
10,0.628,26947
10,0.6214,35975
10,0.6204,26665
11,0.863,38112
11,0.7995,10628
11,0.7485,25770
11,0.727,40139
11,0.7056,14922
11,0.6954,20959
11,0.687,14683
11,0.6828,22019
11,0.6792,20672
11,0.6735,31406
11,0.665,23386
11,0.6623,11487
11,0.6615,40213
11,0.6565,35823
11,0.655,31442
11,0.6517,35249
11,0.6436,28895
11,0.6361,37512
11,0.6354,25078
11,0.6317,40109
11,0.6206,14011
11,0.6174,31358
11,0.6159,36651
11,0.6093,34330
11,0.6069,38531
11,0.6056,26347
11,0.5985,11724
11,0.5972,8333
11,0.5939,12708
11,0.5861,19888
11,0.586,31172
11,0.5853,30792
11,0.5794,13067
11,0.5794,6188
11,0.5792,27599
11,0.5754,27461
11,0.5722,24606
11,0.5677,27209
11,0.5637,36047
11,0.5546,38945
11,0.5503,10849
11,0.5453,31078
11,0.5389,11319
11,0.5387,31370
11,0.5351,29378
11,0.5328,11619
11,0.5324,38383
11,0.5307,12629
11,0.5292,34130
11,0.529,21345
12,0.9158,4951
12,0.907,8589
12,0.9018,8628
12,0.8953,6949
12,0.8948,5156
12,0.8721,28866
12,0.8716,697
12,0.8608,37036
12,0.8433,6655
12,0.8417,5109
12,0.8389,482
12,0.8333,1758
12,0.8333,21941
12,0.8284,1415
12,0.8197,40152
12,0.8178,989
12,0.8135,6916
12,0.8129,7744
12,0.8115,420
12,0.8092,364
12,0.8092,533
12,0.8074,5051
12,0.8052,5197
12,0.804,1902
12,0.7996,481
12,0.7989,9005
12,0.7946,8868
12,0.7946,20410
12,0.7939,4529
12,0.7883,35424
12,0.7883,11046
12,0.7815,220
12,0.7804,5409
12,0.7786,39918
12,0.7784,1984
12,0.7756,7487
12,0.7735,8512
12,0.7714,8525
12,0.7713,1207
12,0.7702,3780
12,0.7694,8364
12,0.7659,5016
12,0.7655,867
12,0.7644,3734
12,0.7633,27566
12,0.7613,38636
12,0.7602,27464
12,0.759,39453
12,0.7585,846
12,0.7552,7058
13,0.8784,35742
13,0.8407,38092
13,0.8374,11217
13,0.784,5580
13,0.7535,37926
13,0.7303,37803
13,0.7222,39692
13,0.719,29339
13,0.7157,40052
13,0.7151,22271
13,0.7118,29344
13,0.7099,12415
13,0.7056,21905
13,0.6991,10456
13,0.693,39572
13,0.6867,18749
13,0.6844,38716
13,0.6814,25978
13,0.6802,5453
13,0.6746,11833
13,0.6728,36629
13,0.6709,8530
13,0.6696,31744
13,0.6626,30208
13,0.6603,23934
13,0.6603,36476
13,0.6583,19103
13,0.6548,39356
13,0.6505,8046
13,0.6488,23614
13,0.6488,35501
13,0.6453,21009
13,0.6435,14028
13,0.6414,12601
13,0.6378,25686
13,0.6358,17395
13,0.6354,37921
13,0.6319,27211
13,0.6319,36322
13,0.6302,36311
13,0.6292,31211
13,0.6264,37628
13,0.6264,39108
13,0.6236,36994
13,0.6218,6815
13,0.6218,14287
13,0.6218,27821
13,0.6218,33629
13,0.6218,35291
13,0.6218,17339
14,0.784,24072
14,0.7151,10134
14,0.6894,13178
14,0.6728,32523
14,0.6717,18188
14,0.6654,5839
14,0.6641,37370
14,0.6565,35448
14,0.6542,24260
14,0.6532,22839
14,0.6467,31005
14,0.6466,25461
14,0.6333,20844
14,0.6319,11628
14,0.6282,39058
14,0.6255,36436
14,0.6218,19136
14,0.6199,34925
14,0.6174,13812
14,0.6069,8504
14,0.6056,36485
14,0.6048,18520
14,0.6033,33299
14,0.6026,21150
14,0.5991,32134
14,0.5957,10209
14,0.594,9220
14,0.5934,8549
14,0.5931,26315
14,0.5894,33414
14,0.5881,11939
14,0.5877,31638
14,0.5877,176
14,0.5833,20157
14,0.5808,3667
14,0.5794,16333
14,0.5794,24712
14,0.5794,32071
14,0.5794,32611
14,0.5762,15836
14,0.5754,35063
14,0.5725,10156
14,0.5722,9661
14,0.5722,27046
14,0.5694,28980
14,0.5677,10754
14,0.5677,14181
14,0.5677,32161
14,0.5648,18094
14,0.5633,12462
15,0.8487,23465
15,0.7731,9459
15,0.7722,20378
15,0.7667,18571
15,0.7465,31750
15,0.7464,35038
15,0.7464,38395
15,0.7386,24156
15,0.7348,25959
15,0.7215,23290
15,0.7189,14420
15,0.7153,38869
15,0.7149,13220
15,0.7147,10531
15,0.7099,27557
15,0.7052,23860
15,0.7042,24605
15,0.7029,36155
15,0.6987,33298
15,0.6973,25683
15,0.6959,24412
15,0.693,13232
15,0.693,15127
15,0.693,36277
15,0.691,33306
15,0.6866,15842
15,0.6845,15033
15,0.6802,14631
15,0.6771,10546
15,0.6722,21802
15,0.6717,11692
15,0.6709,13344
15,0.6704,20963
15,0.6704,25559
15,0.6678,10920
15,0.6651,21544
15,0.6645,24978
15,0.6631,21646
15,0.6623,37943
15,0.6623,35372
15,0.6615,22121
15,0.6594,10846
15,0.6594,13125
15,0.6583,10922
15,0.6583,10978
15,0.6583,15480
15,0.6581,26627
15,0.6565,24308
15,0.655,21533
15,0.655,9314
16,0.8806,5461
16,0.8773,5460
16,0.8576,5477
16,0.8546,2173
16,0.8481,3590
16,0.8441,3981
16,0.8441,5491
16,0.8411,1441
16,0.838,3601
16,0.837,5381
16,0.8368,2497
16,0.8333,583
